pmid	doi	pmcid	title	journal	year	first_author	url
25339007	10.7314/apjcp.2014.15.19.8209		Management of precancerous cervical lesions in iran: a cost minimizing study.	Asian Pacific journal of cancer prevention : APJCP	2014	Azin Nahvijou	https://pubmed.ncbi.nlm.nih.gov/25339007/
25338985	10.7314/apjcp.2014.15.19.8063		Role of the HPV DNA test in follow-up of treated cervical intraepithelial neoplasia in Bangladesh.	Asian Pacific journal of cancer prevention : APJCP	2014	Ashrafun Nessa	https://pubmed.ncbi.nlm.nih.gov/25338985/
25333793	10.1371/journal.pone.0109788	PMC4198132	Impact of an educational intervention on women's knowledge and acceptability of human papillomavirus self-sampling: a randomized controlled trial in Cameroon.	PloS one	2014	Gaëtan Sossauer	https://pubmed.ncbi.nlm.nih.gov/25333793/
25316467		PMC4362125	Knowledge of Saudi female university students regarding cervical cancer and acceptance of the human papilloma virus vaccine.	Saudi medical journal	2014	Ghadeer K Al-Shaikh	https://pubmed.ncbi.nlm.nih.gov/25316467/
25312640	10.1177/0969141314555247		Self-sampling for cervical screening: could it overcome some of the barriers to the Pap test?	Journal of medical screening	2014	Robyn Mullins	https://pubmed.ncbi.nlm.nih.gov/25312640/
25303975	10.1186/1471-2458-14-1060	PMC4203923	Women's intentions to self-collect samples for human papillomavirus testing in an organized cervical cancer screening program.	BMC public health	2014	Laurie W Smith	https://pubmed.ncbi.nlm.nih.gov/25303975/
25301563	10.1016/j.oraloncology.2014.09.011	PMC4253676	Incidence and risk factors of HPV-related and HPV-unrelated Head and Neck Squamous Cell Carcinoma in HIV-infected individuals.	Oral oncology	2014	Daniel C Beachler	https://pubmed.ncbi.nlm.nih.gov/25301563/
25292098	10.7314/apjcp.2014.15.18.7977		Cervical pathology in high-risk human papillomavirus- positive, cytologically normal women.	Asian Pacific journal of cancer prevention : APJCP	2014	Buasorn Supho	https://pubmed.ncbi.nlm.nih.gov/25292098/
25292097	10.7314/apjcp.2014.15.18.7971		CCNA1 promoter methylation: a potential marker for grading Papanicolaou smear cervical squamous intraepithelial lesions.	Asian Pacific journal of cancer prevention : APJCP	2014	Suthipong Chujan	https://pubmed.ncbi.nlm.nih.gov/25292097/
25292093	10.7314/apjcp.2014.15.18.7951		Cervical pathology in cytology-negative/HPV-positive women: results from Lampang Cancer Hospital, Thailand.	Asian Pacific journal of cancer prevention : APJCP	2014	Kannika Paengchit	https://pubmed.ncbi.nlm.nih.gov/25292093/
25284599	10.1002/ijc.29250		Effectiveness of a two-stage strategy with HPV testing followed by visual inspection with acetic acid for cervical cancer screening in a low-income setting.	International journal of cancer	2015	Pierre-Marie Tebeu	https://pubmed.ncbi.nlm.nih.gov/25284599/
25284037	10.1016/j.ygyno.2014.09.019		Self-sampling experiences among non-attendees to cervical screening.	Gynecologic oncology	2014	Anni Virtanen	https://pubmed.ncbi.nlm.nih.gov/25284037/
25279979	10.1097/lgt.0000000000000081	PMC4376562	Preference for human papillomavirus-based cervical cancer screening: results of a choice-based conjoint study in Zambia.	Journal of lower genital tract disease	2015	Eric Chamot	https://pubmed.ncbi.nlm.nih.gov/25279979/
25257565	10.1007/s10900-014-9948-1		Human Papillomavirus Infection in Women Who Submit Self-collected Vaginal Swabs After Internet Recruitment.	Journal of community health	2015	Erik J Nelson	https://pubmed.ncbi.nlm.nih.gov/25257565/
25247320	10.1038/bjc.2014.510	PMC4260034	Vaginal self-sampling is a cost-effective way to increase participation in a cervical cancer screening programme: a randomised trial.	British journal of cancer	2014	K Haguenoer	https://pubmed.ncbi.nlm.nih.gov/25247320/
25227855	10.7314/apjcp.2014.15.17.7437		Acceptability of self-sampling HPV testing among Thai women for cervical cancer screening.	Asian Pacific journal of cancer prevention : APJCP	2014	Shina Oranratanaphan	https://pubmed.ncbi.nlm.nih.gov/25227855/
25215525	10.1371/journal.pone.0106488	PMC4162552	Identification of protein biomarkers for cervical cancer using human cervicovaginal fluid.	PloS one	2014	Geert A A Van Raemdonck	https://pubmed.ncbi.nlm.nih.gov/25215525/
